sampling_method,num_examples,accuracy_error,merge
anchor,50,0.07493050290624204,arithmo_meta_slerp
random,50,0.11107910032853163,arithmo_meta_slerp
irt,50,0.14013141268637852,arithmo_meta_slerp
anchor,50,0.20305787212534743,arithmo_meta_slerp
random,50,0.07107910032853171,arithmo_meta_slerp
irt,50,0.10677280768258768,arithmo_meta_slerp
anchor,50,0.16515036643922154,arithmo_meta_slerp
random,50,0.09107910032853161,arithmo_meta_slerp
irt,50,0.22049532474096534,arithmo_meta_slerp
anchor,50,0.05446044983573417,arithmo_meta_slerp
random,50,0.11107910032853163,arithmo_meta_slerp
irt,50,0.19396007076067723,arithmo_meta_slerp
anchor,50,0.06204195097295928,arithmo_meta_slerp
random,50,0.09107910032853161,arithmo_meta_slerp
irt,50,0.12421026029820548,arithmo_meta_slerp
anchor,50,0.19092747030578716,arithmo_meta_slerp
random,50,0.15107910032853167,arithmo_meta_slerp
irt,50,0.11283800859236792,arithmo_meta_slerp
anchor,50,0.1151124589335355,arithmo_meta_slerp
random,50,0.011079100328531655,arithmo_meta_slerp
irt,50,0.10753095779631028,arithmo_meta_slerp
anchor,50,0.033990396765226194,arithmo_meta_slerp
random,50,0.15107910032853167,arithmo_meta_slerp
irt,50,0.12269396007076061,arithmo_meta_slerp
anchor,50,0.14468031336871356,arithmo_meta_slerp
random,50,0.05107910032853169,arithmo_meta_slerp
irt,50,0.06659085165529433,arithmo_meta_slerp
anchor,50,0.10146575688653026,arithmo_meta_slerp
random,100,0.11107910032853163,arithmo_meta_slerp
irt,100,0.08781905483952479,arithmo_meta_slerp
anchor,100,0.10753095779631017,arithmo_meta_slerp
random,100,0.10107910032853162,arithmo_meta_slerp
irt,100,0.17424816780389163,arithmo_meta_slerp
anchor,100,0.11587060904725788,arithmo_meta_slerp
random,100,0.10107910032853162,arithmo_meta_slerp
irt,100,0.09767500631791759,arithmo_meta_slerp
anchor,100,0.10525650745514281,arithmo_meta_slerp
random,100,0.11107910032853163,arithmo_meta_slerp
irt,100,0.11056355825120012,arithmo_meta_slerp
anchor,100,0.1416477129138235,arithmo_meta_slerp
random,100,0.07107910032853171,arithmo_meta_slerp
irt,100,0.15074551427849348,arithmo_meta_slerp
anchor,100,0.09160980540813735,arithmo_meta_slerp
random,100,0.05107910032853169,arithmo_meta_slerp
irt,100,0.17879706848622667,arithmo_meta_slerp
anchor,100,0.12648471063937328,arithmo_meta_slerp
random,100,0.13107910032853165,arithmo_meta_slerp
irt,100,0.18865301996461947,arithmo_meta_slerp
anchor,100,0.13634066211776608,arithmo_meta_slerp
random,100,0.11107910032853163,arithmo_meta_slerp
irt,100,0.1310336113217082,arithmo_meta_slerp
anchor,100,0.1507455142784938,arithmo_meta_slerp
random,100,0.12107910032853164,arithmo_meta_slerp
irt,100,0.1674248167803889,arithmo_meta_slerp
anchor,100,0.14998736416477132,arithmo_meta_slerp
random,100,0.09107910032853161,arithmo_meta_slerp
irt,100,0.19244377053323203,arithmo_meta_slerp
anchor,100,0.06280010108668177,arithmo_meta_slerp
random,10,0.10892089967146834,ninja_meta_linear
