,italian,english,german,dutch
Mistral-7B-v0.1,0.4087030716723549,0.41723549488054607,0.42235494880546076,0.3839590443686007
GEITje-7B-ultra,0.3165529010238908,0.4718430034129693,0.36689419795221845,0.44197952218430037
leo-mistral-hessianai-7b,0.2858361774744027,0.3097269624573379,0.3387372013651877,0.2977815699658703
Mistral-Ita-7b,0.6109215017064846,0.7261092150170648,0.5017064846416383,0.6151877133105802
genotype1,0.6646757679180887,0.7866894197952219,0.697098976109215,0.6382252559726962
