sampling_method,num_examples,accuracy_error,language
anchor,15,0.023313115996967337,dutch
random,15,0.17287086176396255,dutch
irt,15,0.018764215314632238,dutch
anchor,15,0.18214556482183486,dutch
random,20,0.11046247156937083,dutch
irt,20,0.02255496588324485,dutch
anchor,20,0.0456785443517817,dutch
random,20,0.26046247156937075,dutch
irt,20,0.06311599696739956,dutch
anchor,20,0.053260045489006924,dutch
random,20,0.26046247156937075,dutch
irt,20,0.0028430629264594165,dutch
anchor,20,0.009287338893100905,dutch
random,20,0.11046247156937083,dutch
irt,20,0.059325246398787,dutch
anchor,20,0.025587566338134915,dutch
random,20,0.03953752843062919,dutch
irt,20,0.05970432145564819,dutch
anchor,20,0.140068233510235,dutch
random,20,0.1895375284306292,dutch
irt,20,0.04492039423805916,dutch
anchor,20,0.057808946171342024,dutch
random,20,0.010462471569370801,dutch
irt,20,0.1487869598180439,dutch
anchor,20,0.08320697498104618,dutch
random,20,0.1895375284306292,dutch
irt,20,0.18062926459438966,dutch
anchor,20,0.09306292645943892,dutch
random,20,0.11046247156937083,dutch
irt,20,0.06993934799090218,dutch
anchor,20,0.11732373009855945,dutch
random,20,0.13953752843062922,dutch
irt,20,0.04643669446550419,dutch
anchor,20,0.020659590598938626,dutch
random,30,0.22712913823603742,dutch
irt,30,0.014973464746019682,dutch
anchor,30,0.14423805913570886,dutch
random,30,0.1937958049027041,dutch
irt,30,0.03316906747536014,dutch
anchor,30,0.018764215314632238,dutch
random,30,0.1937958049027041,dutch
irt,30,0.07145564821834727,dutch
anchor,30,0.10936315390447315,dutch
random,30,0.027129138236037464,dutch
irt,30,0.11846095526914324,dutch
anchor,30,0.1321076573161486,dutch
random,30,0.027129138236037464,dutch
irt,30,0.02899924184988628,dutch
anchor,30,0.00360121304018185,dutch
random,30,0.1062041950972959,dutch
irt,30,0.028241091736163793,dutch
anchor,30,0.028620166793024926,dutch
random,30,0.06046247156937079,dutch
irt,30,0.11542835481425329,dutch
anchor,30,0.2511372251705839,dutch
random,30,0.03953752843062919,dutch
irt,30,0.06159969673995458,dutch
anchor,30,0.05098559514783929,dutch
random,30,0.09379580490270412,dutch
irt,30,0.12566338134950716,dutch
anchor,30,0.123768006065201,dutch
random,30,0.1062041950972959,dutch
irt,30,0.03354814253222144,dutch
anchor,30,0.1783548142532222,dutch
random,50,0.24046247156937084,dutch
irt,50,0.10557240333586049,dutch
anchor,50,0.08510235026535273,dutch
random,50,0.10046247156937083,dutch
irt,50,0.15864291129643682,dutch
anchor,50,0.12604245640636857,dutch
random,50,0.16046247156937077,dutch
irt,50,0.01800606520090975,dutch
anchor,50,0.06463229719484465,dutch
random,50,0.08046247156937081,dutch
irt,50,0.20868081880212286,dutch
anchor,50,0.021796815769522304,dutch
random,50,0.04046247156937077,dutch
irt,50,0.16319181197877175,dutch
anchor,50,0.11846095526914335,dutch
random,50,0.02046247156937081,dutch
irt,50,0.08017437452615611,dutch
anchor,50,0.1419636087945414,dutch
random,50,0.10046247156937083,dutch
irt,50,0.08737680060652009,dutch
anchor,50,0.04075056861258525,dutch
random,50,0.0004624715693707926,dutch
irt,50,0.022175890826383604,dutch
anchor,50,0.05705079605761948,dutch
random,50,0.10046247156937083,dutch
irt,50,0.025587566338134915,dutch
anchor,50,0.047194844579226736,dutch
