lang,n_samples,accuracy,estimate_method,iter,diff
spanish,15,0.6277482999999999,irt,5,0.08188021811978763
italian,50,0.45185741999999995,irt,8,0.014404899939348015
german,30,0.50947689,irt,3,0.12585293245640633
spanish,30,0.55799848,irt,2,0.012130398119787666
german,30,0.40712661,irt,1,0.02350265245640637
italian,10,0.51250946,irt,9,0.046247140060652
spanish,15,0.42911296000000004,irt,4,0.11675512188021225
german,30,0.53904475,irt,5,0.15542079245640633
italian,50,0.41774065,irt,9,0.04852166993934798
spanish,30,0.59818046,irt,3,0.05231237811978773
german,30,0.45337378,irt,6,0.06974982245640637
spanish,15,0.54131918,irt,3,0.004548901880212286
german,10,0.53525397,irt,6,0.15163001245640634
german,30,0.3843821,irt,4,0.0007581424564063743
spanish,15,0.48142532000000005,irt,2,0.06444276188021225
italian,50,0.39954505,irt,7,0.06671726993934796
german,30,0.328279,irt,0,0.05534495754359364
german,20,0.33813497000000003,irt,4,0.045488987543593595
german,10,0.35481425,irt,9,0.028809707543593632
italian,30,0.40561031,irt,6,0.060652009939347995
german,20,0.33282789,irt,5,0.050796067543593615
spanish,15,0.6110690099999999,irt,9,0.06520092811978762
italian,50,0.48824861,irt,5,0.02198629006065206
german,20,0.54738439,irt,6,0.16376043245640642
spanish,15,0.55951479,irt,6,0.013646708119787743
spanish,30,0.47005308,irt,1,0.07581500188021228
german,20,0.45489008,irt,7,0.07126612245640634
spanish,15,0.3404094,irt,8,0.20545868188021232
italian,10,0.42001516,irt,8,0.04624715993934797
german,20,0.32297196,irt,8,0.06065199754359363
italian,50,0.34950717,irt,6,0.11675514993934799
german,20,0.40864292,irt,9,0.02501896245640639
spanish,15,0.6322972,irt,7,0.0864291181197877
german,10,0.3631539,irt,8,0.020470057543593656
spanish,30,0.54131919,irt,8,0.004548891880212347
romanian,10,0.24639877999999998,irt,4,0.13722517754359365
italian,20,0.6186505,irt,7,0.15238818006065202
spanish,100,0.5883244000000001,irt,2,0.042456318119787784
dutch,30,0.43896892,irt,7,0.06368461370735407
romanian,50,0.3866565,irt,0,0.003032542456406384
italian,20,0.38134948999999996,irt,0,0.08491282993934801
dutch,30,0.51705837,irt,6,0.14177406370735407
romanian,50,0.24488245,irt,1,0.13874150754359363
dutch,15,0.30022744,irt,7,0.07505686629264591
italian,20,0.47687643,irt,6,0.010614110060652049
romanian,50,0.29719481999999997,irt,2,0.08642913754359366
spanish,50,0.576194,irt,4,0.030325918119787687
dutch,30,0.25852917,irt,5,0.11675513629264594
romanian,50,0.38134945000000003,irt,3,0.0022745075435935957
dutch,15,0.52918877,irt,8,0.15390446370735406
romanian,50,0.37149350999999997,irt,4,0.012130447543593659
spanish,100,0.5125094,irt,1,0.03335868188021229
romanian,30,0.31918118,irt,9,0.06444277754359362
dutch,15,0.38362394999999994,irt,6,0.008339643707354016
romanian,30,0.35178167,irt,8,0.03184228754359364
dutch,30,0.61106902,irt,8,0.23578471370735404
dutch,15,0.33965124,irt,3,0.0356330662926459
romanian,30,0.22441244000000005,irt,2,0.15921151754359358
dutch,50,0.4488248,irt,1,0.0735404937073541
romanian,30,0.22441244000000002,irt,3,0.1592115175435936
romanian,10,0.13419257,irt,7,0.24943138754359362
dutch,50,0.4336618,irt,0,0.05837749370735407
romanian,30,0.35936316,irt,4,0.024260797543593615
dutch,30,0.5701289,irt,4,0.19484459370735413
dutch,15,0.40561031000000003,irt,4,0.03032600370735411
romanian,30,0.23578467,irt,5,0.14783928754359363
spanish,50,0.70811211,irt,3,0.16224402811978766
dutch,30,0.5375284300000001,irt,9,0.16224412370735414
romanian,30,0.32752086,irt,6,0.056103097543593605
dutch,15,0.52312358,irt,5,0.1478392737073541
spanish,100,0.60272925,irt,3,0.0568611681197877
romanian,30,0.3980288,irt,7,0.014404842456406386
italian,15,0.41546625,irt,9,0.05079606993934799
romanian,50,0.379075,irt,5,0.004548957543593635
spanish,50,0.51630016,irt,5,0.02956792188021229
dutch,15,0.64670205,irt,9,0.2714177437073541
dutch,20,0.3358605,irt,9,0.03942380629264591
romanian,100,0.38210760000000005,irt,4,0.0015163575435935828
spanish,50,0.50568607,irt,9,0.04018201188021231
dutch,20,0.42759667,irt,8,0.05231236370735409
romanian,100,0.38286575,irt,5,0.0007582075435936253
dutch,20,0.46322972,irt,3,0.08794541370735409
romanian,100,0.36315385,irt,6,0.02047010754359363
romanian,100,0.30780890000000005,irt,3,0.07581505754359358
italian,20,0.42835481999999997,irt,4,0.037907499939348
romanian,100,0.3426838,irt,7,0.04094015754359365
dutch,20,0.46247159000000004,irt,4,0.08718728370735412
spanish,50,0.5966640700000001,irt,8,0.050795988119787805
romanian,100,0.36467014999999997,irt,8,0.01895380754359366
italian,20,0.5564822099999999,irt,3,0.0902198900606519
dutch,20,0.29871114,irt,6,0.07657316629264593
romanian,100,0.33282785,irt,9,0.05079610754359365
dutch,20,0.46853679,irt,7,0.09325248370735406
spanish,100,0.5777103,irt,4,0.03184221811978771
dutch,20,0.31235785000000005,irt,2,0.06292645629264587
romanian,100,0.34647455,irt,2,0.03714940754359364
romanian,50,0.26307806,irt,6,0.12054589754359363
italian,20,0.51630023,irt,1,0.05003791006065206
dutch,30,0.52843067,irt,3,0.15314636370735407
romanian,50,0.31159965999999995,irt,7,0.07202429754359368
dutch,30,0.49810462,irt,2,0.12282031370735408
romanian,50,0.41698251999999997,irt,8,0.03335856245640634
dutch,20,0.42987113,irt,0,0.05458682370735407
italian,20,0.23047764,irt,2,0.23578467993934796
italian,20,0.45564824,irt,5,0.010614079939347987
spanish,100,0.53904465,irt,0,0.006823431880212283
dutch,30,0.3957543600000001,irt,1,0.020470053707354163
romanian,100,0.34192565,irt,0,0.041698307543593605
dutch,20,0.43896892,irt,1,0.06368461370735407
romanian,100,0.45109924999999995,irt,1,0.06747529245640632
spanish,50,0.56482175,irt,6,0.018953668119787714
dutch,30,0.52994692,irt,0,0.15466261370735407
romanian,50,0.33813490000000007,irt,9,0.04548905754359356
romanian,30,0.3115997,irt,1,0.07202425754359365
german,15,0.6732373,irt,2,0.2896133424564064
dutch,50,0.49734643,irt,2,0.12206212370735409
dutch,100,0.45337369999999994,irt,1,0.07808939370735402
romanian,15,0.22137983,irt,5,0.16224412754359363
dutch,10,0.25246398,irt,6,0.12282032629264594
romanian,15,0.33358604000000003,irt,6,0.0500379175435936
italian,15,0.6118271399999999,irt,6,0.14556482006065197
dutch,100,0.47384375000000006,irt,0,0.09855944370735414
romanian,15,0.23578467999999997,irt,7,0.14783927754359366
italian,20,0.40940106,irt,9,0.056861259939347986
dutch,10,0.50113722,irt,7,0.12585291370735413
