merge,n_samples,accuracy,estimate_method,iter,diff
wizard_meta_slerp,30,0.6,random,0,0.14981046247156937
wizard_meta_slerp,30,0.8,random,1,0.050189537528430694
wizard_meta_slerp,30,0.8333333333333334,random,2,0.08352287086176402
wizard_meta_slerp,30,0.6,random,3,0.14981046247156937
wizard_meta_slerp,30,0.8,random,4,0.050189537528430694
wizard_meta_slerp,30,0.7333333333333333,random,5,0.01647712913823607
wizard_meta_slerp,30,0.8,random,6,0.050189537528430694
wizard_meta_slerp,30,0.7,random,7,0.049810462471569394
wizard_meta_slerp,30,0.6666666666666666,random,8,0.08314379580490272
wizard_meta_slerp,30,0.6666666666666666,random,9,0.08314379580490272
wizard_meta_slerp,50,0.76,random,0,0.010189537528430659
wizard_meta_slerp,50,0.8,random,1,0.050189537528430694
wizard_meta_slerp,50,0.76,random,2,0.010189537528430659
wizard_meta_slerp,50,0.7,random,3,0.049810462471569394
wizard_meta_slerp,50,0.76,random,4,0.010189537528430659
wizard_meta_slerp,50,0.74,random,5,0.009810462471569359
wizard_meta_slerp,50,0.74,random,6,0.009810462471569359
wizard_meta_slerp,50,0.7,random,7,0.049810462471569394
wizard_meta_slerp,50,0.7,random,8,0.049810462471569394
wizard_meta_slerp,50,0.7,random,9,0.049810462471569394
wizard_meta_slerp,100,0.73,random,0,0.019810462471569368
wizard_meta_slerp,100,0.8,random,1,0.050189537528430694
wizard_meta_slerp,100,0.76,random,2,0.010189537528430659
wizard_meta_slerp,100,0.74,random,3,0.009810462471569359
wizard_meta_slerp,100,0.76,random,4,0.010189537528430659
wizard_meta_slerp,100,0.7,random,5,0.049810462471569394
wizard_meta_slerp,100,0.79,random,6,0.040189537528430685
wizard_meta_slerp,100,0.74,random,7,0.009810462471569359
wizard_meta_slerp,100,0.73,random,8,0.019810462471569368
wizard_meta_slerp,100,0.74,random,9,0.009810462471569359
arithmo_meta_td,10,0.4,random,0,0.17467778620166796
arithmo_meta_td,10,0.5,random,1,0.07467778620166798
arithmo_meta_td,10,0.7,random,2,0.12532221379833197
arithmo_meta_td,10,0.4,random,3,0.17467778620166796
arithmo_meta_td,10,0.4,random,4,0.17467778620166796
arithmo_meta_td,10,0.5,random,5,0.07467778620166798
arithmo_meta_td,10,0.3,random,6,0.274677786201668
arithmo_meta_td,10,0.5,random,7,0.07467778620166798
arithmo_meta_td,10,0.7,random,8,0.12532221379833197
arithmo_meta_td,10,0.4,random,9,0.17467778620166796
arithmo_meta_td,15,0.3333333333333333,random,0,0.24134445286833467
arithmo_meta_td,15,0.5333333333333333,random,1,0.04134445286833466
arithmo_meta_td,15,0.7333333333333333,random,2,0.1586555471316653
arithmo_meta_td,15,0.4666666666666667,random,3,0.10801111953500131
arithmo_meta_td,15,0.5333333333333333,random,4,0.04134445286833466
