lang,n_samples,accuracy,estimate_method,iter,diff
italian,10,0.5840431506183709,p-IRT,7,0.1177808306790229
romanian,50,0.3693489395217495,p-IRT,4,0.0142750180218441
german,15,0.1745238540129124,p-IRT,0,0.2091001035306811
italian,10,0.4733403446996964,p-IRT,6,0.0070780247603484
romanian,50,0.445517112684555,p-IRT,3,0.0618931551409614
german,15,0.2601195610874968,p-IRT,1,0.1235043964560967
italian,10,0.2158785685462675,p-IRT,5,0.2503837513930804
romanian,50,0.4045015788462792,p-IRT,2,0.0208776213026855
german,20,0.4281330925041599,p-IRT,9,0.0445091349605663
spanish,100,0.4659485497646154,p-IRT,0,0.0799195321155968
spanish,50,0.4039777630685229,p-IRT,9,0.1418903188116893
italian,15,0.3610619297605894,p-IRT,5,0.1052003901787586
spanish,100,0.5574009765905092,p-IRT,8,0.0115328947102969
romanian,100,0.3069072993475501,p-IRT,2,0.0767166581960435
spanish,100,0.4808885634672275,p-IRT,7,0.0649795184129847
german,15,0.3392599834968128,p-IRT,3,0.0443639740467807
romanian,10,0.008971211239022,p-IRT,8,0.3746527463045716
romanian,50,0.4902651817488123,p-IRT,1,0.1066412242052186
german,50,0.4261923943333141,p-IRT,6,0.0425684367897205
german,100,0.3700177962068962,p-IRT,2,0.0136061613366974
romanian,15,0.2680838256091644,p-IRT,8,0.1155401319344292
german,100,0.3284395679216695,p-IRT,1,0.0551843896219241
german,100,0.4251798748840871,p-IRT,0,0.0415559173404934
german,50,0.2669130194676753,p-IRT,9,0.1167109380759182
romanian,15,0.180861332762045,p-IRT,9,0.2027626247815486
german,50,0.4193307831398499,p-IRT,8,0.0357068255962563
spanish,100,0.6072610378504549,p-IRT,9,0.0613929559702426
romanian,100,0.3858758934544932,p-IRT,8,0.0022519359108996
romanian,100,0.3802495123132628,p-IRT,1,0.0033744452303307
romanian,100,0.3161903549526826,p-IRT,0,0.0674336025909109
italian,20,0.2196695808593555,p-IRT,2,0.2465927390799924
spanish,50,0.5495493577958793,p-IRT,8,0.003681275915667
dutch,20,0.4645772972149838,p-IRT,5,0.0892929909223379
spanish,100,0.4650052462349158,p-IRT,6,0.0808628356452964
romanian,100,0.3476611327148086,p-IRT,3,0.035962824828785
italian,15,0.6671726037319392,p-IRT,6,0.2009102837925912
german,10,0.3037280947070364,p-IRT,4,0.0798958628365572
italian,15,0.3018040472082705,p-IRT,1,0.1644582727310775
romanian,50,0.3449550270863809,p-IRT,8,0.0386689304572127
german,10,0.1742588540364093,p-IRT,3,0.2093651035071843
romanian,50,0.3580442819808259,p-IRT,9,0.0255796755627676
italian,15,0.353780990430404,p-IRT,2,0.1124813295089439
german,10,0.2891956508011788,p-IRT,2,0.0944283067424148
german,10,0.6469631536084318,p-IRT,1,0.2633391960648382
italian,15,0.601717513442345,p-IRT,3,0.135455193502997
italian,15,0.5049554978467837,p-IRT,4,0.0386931779074357
german,20,0.3201551783265071,p-IRT,8,0.0634687792170865
german,15,0.3082172957253683,p-IRT,4,0.0754066618182253
german,20,0.2533174598259454,p-IRT,7,0.1303064977176482
dutch,100,0.4183676307574365,p-IRT,2,0.0430833244647906
dutch,10,0.4090576874443973,p-IRT,5,0.0337733811517514
dutch,100,0.4607623885615827,p-IRT,1,0.0854780822689367
dutch,10,0.1651839134063974,p-IRT,6,0.2101003928862485
dutch,100,0.430890036682213,p-IRT,0,0.055605730389567
dutch,50,0.418157464768623,p-IRT,9,0.0428731584759771
dutch,10,0.3467253281915627,p-IRT,7,0.0285589781010832
dutch,50,0.2974439567517715,p-IRT,8,0.0778403495408744
dutch,10,0.3197559293930704,p-IRT,8,0.0555283768995754
dutch,50,0.4520353406432008,p-IRT,7,0.0767510343505549
dutch,10,0.2816620550132473,p-IRT,9,0.0936222512793986
dutch,50,0.3337901948444793,p-IRT,6,0.0414941114481665
dutch,50,0.5484871296169911,p-IRT,5,0.1732028233243451
dutch,15,0.5175755522981684,p-IRT,0,0.1422912460055225
dutch,50,0.51088998814699,p-IRT,4,0.1356056818543441
dutch,10,0.2484039849151875,p-IRT,4,0.1268803213774583
dutch,50,0.3321438239554742,p-IRT,3,0.0431404823371716
dutch,100,0.3693824807234732,p-IRT,3,0.0059018255691726
dutch,10,0.3526447494760454,p-IRT,3,0.0226395568166004
dutch,20,0.5681943423747832,p-IRT,0,0.1929100360821372
dutch,30,0.2682906358864536,p-IRT,1,0.1069936704061923
dutch,20,0.4624342058907625,p-IRT,1,0.0871498995981165
dutch,30,0.5116136049055751,p-IRT,0,0.1363292986129291
dutch,20,0.2548126900380774,p-IRT,9,0.1204716162545685
dutch,20,0.410352157924906,p-IRT,2,0.0350678516322601
dutch,20,0.3686525832176034,p-IRT,8,0.0066317230750425
dutch,20,0.3759784377707876,p-IRT,3,0.0006941314781417
dutch,20,0.4871446859027536,p-IRT,7,0.1118603796101077
dutch,20,0.3752536395371009,p-IRT,4,3.066675554502796e-05
dutch,20,0.4598760875110867,p-IRT,6,0.0845917812184408
dutch,15,0.3517569365374892,p-IRT,4,0.0235273697551567
dutch,50,0.3693021723038581,p-IRT,0,0.0059821339887878
dutch,15,0.4265021953802415,p-IRT,3,0.0512178890875955
dutch,50,0.3820974542648268,p-IRT,1,0.0068131479721808
dutch,100,0.4961348478808259,p-IRT,4,0.12085054158818
dutch,100,0.43304588235565,p-IRT,5,0.057761576063004
dutch,15,0.209891010879319,p-IRT,2,0.1653932954133269
spanish,20,0.671075264540581,p-IRT,7,0.1252071826603686
